start_time,end_time,t3_duration,t3_max_time,t3_max_int
2013-01-27 02:59:30,2013-01-27 03:30:30,31.0,2013-01-27 03:11:30,7.858
2013-02-06 00:09:30,2013-02-06 00:40:30,31.0,2013-02-06 00:12:30,51.017
2013-04-11 07:01:30,2013-04-11 08:08:30,67.0,2013-04-11 07:04:30,161.995
2013-04-18 18:01:30,2013-04-18 18:41:30,40.0,2013-04-18 18:13:30,50.615
2013-04-21 07:31:30,2013-04-21 08:11:30,40.0,2013-04-21 07:39:30,15.588
2013-04-28 20:14:30,2013-04-28 20:48:30,34.0,2013-04-28 20:17:30,40.63
2013-04-29 05:52:30,2013-04-29 06:25:30,33.0,2013-04-29 05:57:30,78.253
2013-05-02 05:09:30,2013-05-02 05:45:30,36.0,2013-05-02 05:09:30,131.494
2013-05-13 16:03:30,2013-05-13 16:33:30,30.0,2013-05-13 16:10:30,15.469
2013-05-17 08:53:30,2013-05-17 09:44:30,51.0,2013-05-17 09:14:30,28.163
2013-05-22 13:13:30,2013-05-22 14:29:30,76.0,2013-05-22 13:31:30,33.967
2013-05-22 14:44:30,2013-05-22 15:42:30,58.0,2013-05-22 14:49:30,9.791
2013-06-21 02:57:30,2013-06-21 03:37:30,40.0,2013-06-21 03:11:30,13.497
2013-08-06 01:45:30,2013-08-06 02:16:30,31.0,2013-08-06 01:53:30,40.321
2013-08-17 18:54:30,2013-08-17 19:48:30,54.0,2013-08-17 19:04:30,13.709
2013-08-23 00:12:30,2013-08-23 00:45:30,33.0,2013-08-23 00:17:30,35.593
2013-10-11 07:17:30,2013-10-11 08:02:30,45.0,2013-10-11 07:29:30,48.984
2013-10-20 08:38:30,2013-10-20 09:22:30,44.0,2013-10-20 08:43:30,165.055
2013-10-22 21:19:30,2013-10-22 21:58:30,39.0,2013-10-22 21:22:30,117.211
2013-10-25 15:04:30,2013-10-25 15:35:30,31.0,2013-10-25 15:09:30,27.543
2013-10-28 15:13:30,2013-10-28 15:48:30,35.0,2013-10-28 15:17:30,110.057
2013-11-04 05:14:30,2013-11-04 05:44:30,30.0,2013-11-04 05:21:30,14.661
2013-11-05 22:11:30,2013-11-05 22:58:30,47.0,2013-11-05 22:14:30,128.393
2013-11-07 10:25:30,2013-11-07 11:05:30,40.0,2013-11-07 10:44:30,25.357
2013-11-12 21:39:30,2013-11-12 22:10:30,31.0,2013-11-12 21:44:30,51.048
2013-11-17 07:30:30,2013-11-17 08:06:30,36.0,2013-11-17 07:50:30,23.093
2013-11-18 19:34:30,2013-11-18 20:04:30,30.0,2013-11-18 19:37:30,40.395
2013-12-07 07:23:30,2013-12-07 08:12:30,49.0,2013-12-07 07:30:30,136.222
2013-12-12 03:23:30,2013-12-12 04:19:30,56.0,2013-12-12 03:31:30,12.769
2013-12-28 17:23:30,2013-12-28 18:06:30,43.0,2013-12-28 17:31:30,35.187
2013-12-29 05:46:30,2013-12-29 06:19:30,33.0,2013-12-29 06:00:30,18.122
2013-12-29 07:54:30,2013-12-29 08:35:30,41.0,2013-12-29 07:58:30,94.322
2013-12-31 10:39:30,2013-12-31 11:12:30,33.0,2013-12-31 10:48:30,21.526
