start_time,end_time,t3_duration,t3_max_time,t3_max_int
2011-01-27 08:42:30,2011-01-27 09:19:30,37.0,2011-01-27 09:00:30,27.282
2011-01-27 11:59:30,2011-01-27 12:32:30,33.0,2011-01-27 12:03:30,78.384
2011-01-27 20:15:30,2011-01-27 20:46:30,31.0,2011-01-27 20:25:30,13.668
2011-02-17 21:31:30,2011-02-17 22:04:30,33.0,2011-02-17 21:38:30,163.816
2011-03-07 19:54:30,2011-03-07 20:51:30,57.0,2011-03-07 20:12:30,54.659
2011-03-21 02:28:30,2011-03-21 02:59:30,31.0,2011-03-21 02:40:30,10.6
2011-03-24 16:56:30,2011-03-24 17:31:30,35.0,2011-03-24 17:17:30,33.059
2011-03-26 01:14:30,2011-03-26 01:46:30,32.0,2011-03-26 01:34:30,34.08
2011-05-15 23:29:30,2011-05-16 00:03:30,34.0,2011-05-15 23:34:30,113.176
2011-05-18 18:17:30,2011-05-18 18:52:30,35.0,2011-05-18 18:23:30,10.407
2011-06-04 22:00:30,2011-06-04 22:39:30,39.0,2011-06-04 22:08:30,37.087
2011-06-07 06:28:30,2011-06-07 07:35:30,67.0,2011-06-07 06:38:30,193.045
2011-06-21 02:57:30,2011-06-21 03:27:30,30.0,2011-06-21 03:02:30,40.219
2011-06-24 15:45:30,2011-06-24 16:20:30,35.0,2011-06-24 15:51:30,56.827
2011-07-03 00:04:30,2011-07-03 00:51:30,47.0,2011-07-03 00:07:30,49.789
2011-07-08 02:56:30,2011-07-08 03:26:30,30.0,2011-07-08 03:01:30,112.655
2011-07-16 17:54:30,2011-07-16 18:33:30,39.0,2011-07-16 18:00:30,42.387
2011-07-31 19:00:30,2011-07-31 19:47:30,47.0,2011-07-31 19:18:30,21.089
2011-08-02 06:06:30,2011-08-02 07:01:30,55.0,2011-08-02 06:28:30,74.699
2011-08-03 13:25:30,2011-08-03 14:06:30,41.0,2011-08-03 13:36:30,61.564
2011-08-04 03:51:30,2011-08-04 04:44:30,53.0,2011-08-04 04:01:30,77.882
2011-08-08 18:04:30,2011-08-08 18:42:30,38.0,2011-08-08 18:09:30,106.29
2011-08-09 08:03:30,2011-08-09 08:49:30,46.0,2011-08-09 08:11:30,46.161
2011-09-06 01:52:30,2011-09-06 02:36:30,44.0,2011-09-06 02:02:30,65.288
2011-09-06 22:23:30,2011-09-06 23:11:30,48.0,2011-09-06 22:34:30,110.721
2011-09-22 10:42:30,2011-09-22 11:26:30,44.0,2011-09-22 10:54:30,91.771
2011-10-01 09:03:30,2011-10-01 09:34:30,31.0,2011-10-01 09:08:30,72.53
2011-10-01 09:42:30,2011-10-01 10:18:30,36.0,2011-10-01 09:51:30,46.778
2011-10-02 11:05:30,2011-10-02 11:36:30,31.0,2011-10-02 11:09:30,67.713
2011-10-02 21:46:30,2011-10-02 22:32:30,46.0,2011-10-02 21:52:30,52.542
2011-11-09 13:16:30,2011-11-09 13:55:30,39.0,2011-11-09 13:32:30,16.393
2011-11-25 15:54:30,2011-11-25 16:28:30,34.0,2011-11-25 15:55:30,12.387
2011-12-20 02:39:30,2011-12-20 03:16:30,37.0,2011-12-20 02:52:30,21.758
2011-12-24 12:01:30,2011-12-24 12:49:30,48.0,2011-12-24 12:27:30,11.737
2011-12-25 18:17:30,2011-12-25 18:56:30,39.0,2011-12-25 18:25:30,36.444
2011-12-27 04:17:30,2011-12-27 04:49:30,32.0,2011-12-27 04:21:30,85.952
2011-12-28 20:18:30,2011-12-28 20:54:30,36.0,2011-12-28 20:22:30,91.789
2011-12-30 05:23:30,2011-12-30 05:56:30,33.0,2011-12-30 05:28:30,34.116
2011-12-30 19:37:30,2011-12-30 20:13:30,36.0,2011-12-30 19:57:30,18.079
