File name: g15_xrs_2s_20141220_20141220
Metadata Description:
dimensions:
record = UNLIMITED; //(42172 currently)
orbit = 1;

variables:
double time_tag_orbit(orbit);
time_tag_orbit:long_name = "Date and time for each west_longitude and inclination pair";
time_tag_orbit:units = "Date and time in the format YYYY-mm-dd hh:mm:ss.SSS UTC";
time_tag_orbit:calendar = "gregorian";

float west_longitude(orbit);
west_longitude:description = "West longitude of satellite sub-orbit point at the given date and time.";
west_longitude:long_label = "West longitude";
west_longitude:short_label = "w long";
west_longitude:plot_label = "West longitude";
west_longitude:lin_log = "lin";
west_longitude:units = "degrees";
west_longitude:format = "F5.1";
west_longitude:nominal_min = " 70.0";
west_longitude:nominal_max = "140.0";
west_longitude:missing_value = "-99999";

float inclination(orbit);
inclination:description = "Inclination -- the angle between the plane of the orbit and the equatorial plane measured counter-clockwise from true East.";
inclination:long_label = "inclination";
inclination:short_label = "incl";
inclination:plot_label = "inclination";
inclination:lin_log = "lin";
inclination:units = "degrees";
inclination:format = "F6.3";
inclination:nominal_min = "0.0";
inclination:nominal_max = " 1.000";
inclination:missing_value = "-99999";

double time_tag(record) ;
time_tag:long_name = "Date and time for each observation" ;
time_tag:units = "Date and time in the format YYYY-mm-dd hh:mm:ss.SSS UTC" ;
time_tag:calendar = "gregorian" ;

float A_QUAL_FLAG(record);
A_QUAL_FLAG:description = "Quality flag non-zero value indicates data quality issue.";
A_QUAL_FLAG:long_label = "quality flag";
A_QUAL_FLAG:short_label = "qf";
A_QUAL_FLAG:plot_label = " ";
A_QUAL_FLAG:lin_log = "lin";
A_QUAL_FLAG:units = "qf";
A_QUAL_FLAG:format = "I";
A_QUAL_FLAG:nominal_min = "0";
A_QUAL_FLAG:nominal_max = "4294967295";
A_QUAL_FLAG:missing_value = "99999";

float A_COUNT(record);
A_COUNT:description = "Analog detector response is converted to counts before telemetry.";
A_COUNT:long_label = "x-ray (0.05-0.4 nm) counts";
A_COUNT:short_label = "xs cts";
A_COUNT:plot_label = "  ";
A_COUNT:lin_log = "log";
A_COUNT:units = "counts";
A_COUNT:format = "E10.4";
A_COUNT:nominal_min = "1.0000E+04";
A_COUNT:nominal_max = "7.0000E+08";
A_COUNT:missing_value = "-99999";

float A_FLUX(record);
A_FLUX:description = "XRS short wavelength channel irradiance (0.05 - 0.4 nm)";
A_FLUX:long_label = "x-ray (0.05-0.4 nm) irradiance";
A_FLUX:short_label = "xs fx";
A_FLUX:plot_label = "XS(0.05-0.4 nm)";
A_FLUX:lin_log = "log";
A_FLUX:units = "W/m^2";
A_FLUX:format = "E10.4";
A_FLUX:nominal_min = "1.0000E-09";
A_FLUX:nominal_max = "1.0000E-03";
A_FLUX:missing_value = "-99999";

float B_QUAL_FLAG(record);
B_QUAL_FLAG:description = "Quality flag non-zero value indicates data quality issue.";
B_QUAL_FLAG:long_label = "quality flag";
B_QUAL_FLAG:short_label = "qf";
B_QUAL_FLAG:plot_label = "qf";
B_QUAL_FLAG:lin_log = "lin";
B_QUAL_FLAG:units = "qf";
B_QUAL_FLAG:format = "I";
B_QUAL_FLAG:nominal_min = "0";
B_QUAL_FLAG:nominal_max = "4294967295";
B_QUAL_FLAG:missing_value = "99999";

float B_COUNT(record);
B_COUNT:description = "Analog detector response is converted to counts before telemetry.";
B_COUNT:long_label = "x-ray (0.1-0.8 nm) counts";
B_COUNT:short_label = "xl cts";
B_COUNT:plot_label = " ";
B_COUNT:lin_log = "log";
B_COUNT:units = "counts";
B_COUNT:format = "E10.4";
B_COUNT:nominal_min = "1.0000E+04";
B_COUNT:nominal_max = "7.0000E+08";
B_COUNT:missing_value = "-99999";

float B_FLUX(record);
B_FLUX:description = "XRS long wavelength channel irradiance (0.1-0.8 nm)";
B_FLUX:long_label = "x-ray (0.1-0.8 nm) irradiance";
B_FLUX:short_label = "xl fx";
B_FLUX:plot_label = "XL(0.1-0.8 nm)";
B_FLUX:lin_log = "log";
B_FLUX:units = "W/m^2";
B_FLUX:format = "E10.4";
B_FLUX:nominal_min = "1.0000E-09";
B_FLUX:nominal_max = "1.0000E-03";
B_FLUX:missing_value = "-99999";

// global attributes
:conventions = "GOES Space Weather"
:title = "GOES X-ray Sensor"
:institution = "NOAA"
:source = "Satellite Insitu Observations"
:satellite_id = "GOES-15"
:instrument = "X-ray Sensor"
:process-type = "Full resolution"
:process-level = "level 1b"
:sample-time = "2.048"
:sample-unit = "seconds"
:creation_date = "2014-12-21 03:14:00.240 MST"
:start_date = "2014-12-20 00:00:01.247 UTC"
:end_date = "2014-12-20 23:59:59.967 UTC"
:records_maximum = "42188"
:records_present = "42172"
:records_missing = "16"
:originating_agency = "DOC/NOAA/NCEP/NWS/SWPC"
:archiving_agency = "DOC/NOAA/NESDIS/NGDC"
:NOAA_scaling_factors = "The XRS data for GOES 8-15 include NOAA scaling factors which must be removed to get observed fluxes.  To remove these factors, divide the short channel fluxes (A_FLUX) by 0.85 and divide the long channel fluxes (B_FLUX) by 0.7." 

satellite location:
time_tag_orbit,west_longitude,inclination
2014-12-20 00:00:00.0,135.4, 0.187

data: 
time_tag,A_QUAL_FLAG,A_COUNT,A_FLUX,B_QUAL_FLAG,B_COUNT,B_FLUX
2014-12-20 00:00:01.247,0,1.7979E+04,1.9433E-08,0,2.1467E+04,1.2354E-06
2014-12-20 00:00:03.293,0,1.7971E+04,1.8319E-08,0,2.1459E+04,1.2328E-06
2014-12-20 00:00:05.343,0,1.7971E+04,1.8319E-08,0,2.1467E+04,1.2354E-06
2014-12-20 00:00:07.390,0,1.7971E+04,1.8319E-08,0,2.1451E+04,1.2301E-06
2014-12-20 00:00:09.437,0,1.7971E+04,1.8319E-08,0,2.1459E+04,1.2328E-06
2014-12-20 00:00:11.487,0,1.7995E+04,2.1662E-08,0,2.1475E+04,1.2380E-06
2014-12-20 00:00:13.533,0,1.7979E+04,1.9433E-08,0,2.1451E+04,1.2301E-06
2014-12-20 00:00:15.583,0,1.7955E+04,1.6090E-08,0,2.1467E+04,1.2354E-06
2014-12-20 00:00:17.630,0,1.7947E+04,1.4976E-08,0,2.1443E+04,1.2275E-06
2014-12-20 00:00:19.677,0,1.7955E+04,1.6090E-08,0,2.1459E+04,1.2328E-06
2014-12-20 00:00:21.727,0,1.7947E+04,1.4976E-08,0,2.1451E+04,1.2301E-06
2014-12-20 00:00:23.773,0,1.7947E+04,1.4976E-08,0,2.1435E+04,1.2249E-06
2014-12-20 00:00:25.823,0,1.7963E+04,1.7204E-08,0,2.1451E+04,1.2301E-06
2014-12-20 00:00:27.870,0,1.7947E+04,1.4976E-08,0,2.1443E+04,1.2275E-06
2014-12-20 00:00:29.917,0,1.7947E+04,1.4976E-08,0,2.1443E+04,1.2275E-06
2014-12-20 00:00:31.967,0,1.7947E+04,1.4976E-08,0,2.1435E+04,1.2249E-06
2014-12-20 00:00:34.013,0,1.7955E+04,1.6090E-08,0,2.1435E+04,1.2249E-06
2014-12-20 00:00:36.063,0,1.7955E+04,1.6090E-08,0,2.1443E+04,1.2275E-06
2014-12-20 00:00:38.110,0,1.7947E+04,1.4976E-08,0,2.1419E+04,1.2197E-06
2014-12-20 00:00:40.157,0,1.7947E+04,1.4976E-08,0,2.1427E+04,1.2223E-06
2014-12-20 00:00:42.207,0,1.7963E+04,1.7204E-08,0,2.1435E+04,1.2249E-06
2014-12-20 00:00:44.253,0,1.7955E+04,1.6090E-08,0,2.1427E+04,1.2223E-06
2014-12-20 00:00:46.303,0,1.7955E+04,1.6090E-08,0,2.1443E+04,1.2275E-06
