start_time,end_time,t3_duration,t3_max_time,t3_max_int
2015-01-12 15:18:30,2015-01-12 15:55:30,37.0,2015-01-12 15:25:30,20.614
2015-01-14 10:40:30,2015-01-14 11:13:30,33.0,2015-01-14 10:43:30,80.311
2015-03-09 10:07:30,2015-03-09 10:39:30,32.0,2015-03-09 10:10:30,49.945
2015-03-12 21:48:30,2015-03-12 22:28:30,40.0,2015-03-12 21:53:30,93.034
2015-03-24 08:32:30,2015-03-24 09:12:30,40.0,2015-03-24 08:50:30,12.66
2015-04-05 20:39:30,2015-04-05 21:12:30,33.0,2015-04-05 20:50:30,18.344
2015-04-10 08:02:30,2015-04-10 08:33:30,31.0,2015-04-10 08:05:30,46.659
2015-04-15 15:24:30,2015-04-15 15:54:30,30.0,2015-04-15 15:30:30,36.459
2015-06-12 15:26:30,2015-06-12 15:57:30,31.0,2015-06-12 15:40:30,7.738
2015-06-25 08:24:30,2015-06-25 09:19:30,55.0,2015-06-25 08:30:30,30.109
2015-08-24 07:24:30,2015-08-24 08:07:30,43.0,2015-08-24 07:34:30,37.893
2015-08-25 22:03:30,2015-08-25 22:33:30,30.0,2015-08-25 22:08:30,78.008
2015-08-28 06:21:30,2015-08-28 06:54:30,33.0,2015-08-28 06:25:30,77.916
2015-09-20 18:02:30,2015-09-20 19:03:30,61.0,2015-09-20 18:08:30,17.378
2015-09-29 19:23:30,2015-09-29 19:57:30,34.0,2015-09-29 19:28:30,55.57
2015-10-29 02:21:30,2015-10-29 02:56:30,35.0,2015-10-29 02:31:30,38.621
2015-11-04 13:42:30,2015-11-04 14:53:30,71.0,2015-11-04 14:02:30,32.772
2015-11-09 13:08:30,2015-11-09 13:41:30,33.0,2015-11-09 13:21:30,24.643
2015-12-16 05:45:30,2015-12-16 06:20:30,35.0,2015-12-16 05:54:30,54.107
2015-12-17 21:03:30,2015-12-17 21:56:30,53.0,2015-12-17 21:07:30,59.547
2015-12-18 17:42:30,2015-12-18 18:30:30,48.0,2015-12-18 17:45:30,30.173
2015-12-19 02:02:30,2015-12-19 02:32:30,30.0,2015-12-19 02:04:30,79.882
2015-12-28 11:38:30,2015-12-28 12:08:30,30.0,2015-12-28 11:55:30,46.252
