start_time,end_time,t3_duration,t3_max_time,t3_max_int,points_no,intgl_int_dur
2013-05-12 01:01:30,2013-05-12 01:32:30,31.000000000000004,2013-05-12 01:09:30,71.1832984983921,31,393.62
2013-05-12 07:48:30,2013-05-12 08:38:30,50.0,2013-05-12 07:52:30,30.236293012276292,50,380.228
2013-05-12 10:20:30,2013-05-12 10:56:30,36.0,2013-05-12 10:24:30,36.35265068791341,36,465.951
2013-05-13 02:12:30,2013-05-13 02:50:30,38.0,2013-05-13 02:16:30,7.164685952127911,39,146.611
2013-05-13 03:40:30,2013-05-13 04:19:30,39.0,2013-05-13 03:45:30,17.77478836919181,40,237.371
2013-05-13 16:01:30,2013-05-13 16:46:30,45.0,2013-05-13 16:10:30,8.340852892724797,46,224.107
2013-05-17 08:52:30,2013-05-17 09:52:30,60.0,2013-05-17 09:08:30,14.811942942906171,61,407.668
2013-05-22 13:12:30,2013-05-22 15:49:30,157.0,2013-05-22 13:31:30,17.56053780950606,158,998.007
2013-06-05 08:40:30,2013-06-05 09:26:30,46.0,2013-06-05 08:51:30,5.387322165770456,39,131.268
2013-06-10 12:11:30,2013-06-10 13:05:30,54.0,2013-06-10 12:38:30,11.312951711472124,46,196.686
2013-06-10 13:32:30,2013-06-10 14:04:30,32.00000000000001,2013-06-10 13:42:30,24.388518562423997,31,242.75
2013-06-10 14:20:30,2013-06-10 15:04:30,44.0,2013-06-10 14:27:30,22.670026406878605,45,313.216
2013-06-11 18:00:30,2013-06-11 18:34:30,34.00000000000001,2013-06-11 18:07:30,3.0640933187678456,28,66.478
2013-06-19 07:22:30,2013-06-19 08:02:30,40.0,2013-06-19 07:28:30,52.477334063733,40,569.283
2013-06-21 02:51:30,2013-06-21 03:53:30,62.00000000000001,2013-06-21 03:11:30,7.305885102134198,63,252.149
2013-06-28 01:17:30,2013-06-28 02:07:30,50.0,2013-06-28 01:50:30,4.974089956609532,41,119.08
2013-07-05 08:32:30,2013-07-05 09:04:30,32.00000000000001,2013-07-05 08:51:30,11.611440243665129,28,125.276
2013-07-05 09:37:30,2013-07-05 10:34:30,57.0,2013-07-05 09:41:30,11.169595644576475,50,235.053
2013-07-05 11:59:30,2013-07-05 12:39:30,40.0,2013-07-05 12:29:30,5.950822533108294,41,130.08
2013-07-05 18:02:30,2013-07-05 18:50:30,48.0,2013-07-05 18:07:30,6.549119720119052,47,173.345
2013-07-05 21:28:30,2013-07-05 22:01:30,33.00000000000001,2013-07-05 21:34:30,25.532833020901307,33,246.578
2013-07-11 17:29:30,2013-07-11 18:19:30,50.0,2013-07-11 18:13:30,3.781430587521754,29,73.551
2013-07-17 09:16:30,2013-07-17 09:51:30,35.0,2013-07-17 09:21:30,19.69121471757535,36,288.186
2013-07-28 05:47:30,2013-07-28 06:29:30,42.0,2013-07-28 06:09:30,8.801476042950526,41,198.241
2013-08-06 01:44:30,2013-08-06 02:27:30,43.0,2013-08-06 01:53:30,20.699487449252047,42,347.384
2013-08-09 20:19:30,2013-08-09 20:56:30,37.0,2013-08-09 20:21:30,9.875868877163157,38,187.179
2013-08-17 18:52:30,2013-08-17 20:00:30,68.00000000000001,2013-08-17 19:04:30,7.393179076723754,69,338.224
2013-08-23 00:12:30,2013-08-23 01:42:30,90.0,2013-08-23 00:17:30,18.329470351454802,82,350.673
2013-08-30 02:25:30,2013-08-30 03:06:30,41.0,2013-08-30 02:45:30,6.046138604637235,42,137.389
2013-09-18 18:13:30,2013-09-18 18:45:30,32.00000000000001,2013-09-18 18:24:30,5.51126897893846,33,123.174
2013-09-27 11:29:30,2013-09-27 12:05:30,36.0,2013-09-27 11:29:30,2.399010050925426,37,77.324
2013-09-29 21:57:30,2013-09-29 22:30:30,33.00000000000001,2013-09-29 22:01:30,7.216940017184243,34,127.503
2013-10-11 07:16:30,2013-10-11 08:16:30,60.0,2013-10-11 07:29:30,25.17076475964859,60,549.665
2013-10-13 00:33:30,2013-10-13 01:41:30,68.00000000000001,2013-10-13 01:08:30,116.45992914959788,66,1308.085
2013-10-14 13:07:30,2013-10-14 13:47:30,40.0,2013-10-14 13:12:30,4.951174861984327,38,124.274
2013-10-16 15:04:30,2013-10-16 15:43:30,39.0,2013-10-16 15:11:30,32.060786998597905,40,397.372
2013-10-17 04:15:30,2013-10-17 04:47:30,32.00000000000001,2013-10-17 04:23:30,9.28583817067556,32,168.086
2013-10-20 07:14:30,2013-10-20 07:47:30,33.00000000000001,2013-10-20 07:29:30,14.953610439319164,33,189.679
2013-10-20 08:37:30,2013-10-20 09:40:30,63.00000000000001,2013-10-20 08:43:30,83.7721311331261,63,1268.685
2013-10-20 14:43:30,2013-10-20 15:19:30,36.0,2013-10-20 15:06:30,18.856486046104692,37,331.042
2013-10-22 21:18:30,2013-10-22 22:06:30,48.0,2013-10-22 21:22:30,59.900743101025,49,768.022
2013-10-24 14:06:30,2013-10-24 14:39:30,33.00000000000001,2013-10-24 14:31:30,5.158227639622055,34,102.055
2013-10-25 08:01:30,2013-10-25 08:40:30,39.0,2013-10-25 08:10:30,11.825664780568331,40,228.796
2013-10-25 15:02:30,2013-10-25 15:45:30,43.0,2013-10-25 15:09:30,14.69417022401467,44,290.991
2013-10-26 09:24:30,2013-10-26 09:57:30,33.00000000000001,2013-10-26 09:30:30,14.732700312742963,33,228.65
2013-10-26 22:33:30,2013-10-26 23:22:30,49.0,2013-10-26 22:40:30,5.907114400644787,45,162.878
2013-10-28 15:11:30,2013-10-28 16:03:30,52.0,2013-10-28 15:17:30,56.68174019106664,50,803.44
2013-10-31 09:28:30,2013-10-31 09:59:30,31.000000000000004,2013-10-31 09:37:30,6.320322791812941,31,123.859
2013-11-02 04:31:30,2013-11-02 05:07:30,36.0,2013-11-02 04:46:30,4.153043737867847,37,105.464
2013-11-04 05:05:30,2013-11-04 06:00:30,55.0,2013-11-04 05:21:30,7.8955748156877235,50,194.505
2013-11-05 22:11:30,2013-11-05 23:12:30,61.00000000000001,2013-11-05 22:14:30,66.296338703949,62,923.063
2013-11-06 23:50:30,2013-11-07 00:36:30,46.0,2013-11-06 23:57:30,18.304782938677818,43,337.567
2013-11-07 10:24:30,2013-11-07 11:15:30,51.0,2013-11-07 10:44:30,13.335765008581802,52,308.552
2013-11-12 21:39:30,2013-11-12 22:25:30,46.0,2013-11-12 21:44:30,26.08270891068969,46,375.826
2013-11-13 04:40:30,2013-11-13 05:17:30,37.0,2013-11-13 04:45:30,11.297050958266482,36,183.13
2013-11-13 23:58:30,2013-11-14 00:28:30,30.0,2013-11-14 00:03:30,32.588972144643776,31,357.413
2013-11-17 07:29:30,2013-11-17 08:25:30,56.0,2013-11-17 07:50:30,12.300829545827582,55,269.665
2013-11-18 19:33:30,2013-11-18 20:14:30,41.0,2013-11-18 19:37:30,20.868982479907572,42,317.853
2013-11-19 10:24:30,2013-11-19 10:58:30,34.00000000000001,2013-11-19 10:27:30,24.34245529770851,34,264.72
2013-12-01 06:32:30,2013-12-01 11:43:30,311.0,2013-12-01 11:31:30,5.095942377112806,312,1101.345
2013-12-01 19:51:30,2013-12-01 20:36:30,45.0,2013-12-01 19:56:30,8.903837102116086,36,179.208
2013-12-04 23:41:30,2013-12-05 00:22:30,41.0,2013-12-05 00:15:30,3.512550964485854,39,95.964
2013-12-07 07:19:30,2013-12-07 08:31:30,72.0,2013-12-07 07:22:30,101.03838946437463,72,1338.141
2013-12-12 03:22:30,2013-12-12 04:33:30,71.0,2013-12-12 03:31:30,7.044729929300956,71,322.118
2013-12-13 20:26:30,2013-12-13 20:57:30,31.000000000000004,2013-12-13 20:32:30,5.375789120793343,32,108.637
2013-12-15 08:16:30,2013-12-15 09:01:30,45.0,2013-12-15 08:20:30,12.902212394401431,45,222.349
2013-12-16 08:21:30,2013-12-16 08:57:30,36.0,2013-12-16 08:25:30,11.83056445850525,36,179.432
2013-12-24 12:50:30,2013-12-24 13:25:30,35.0,2013-12-24 12:54:30,5.660045598284341,34,110.837
2013-12-28 17:21:30,2013-12-28 18:19:30,58.0,2013-12-28 17:31:30,18.129933355841786,57,399.993
2013-12-29 05:46:30,2013-12-29 06:32:30,46.0,2013-12-29 06:00:30,9.587964974925853,44,230.245
2013-12-29 07:50:30,2013-12-29 08:47:30,57.0,2013-12-29 07:58:30,47.8001333118882,57,762.692
2013-12-29 14:43:30,2013-12-29 15:16:30,33.00000000000001,2013-12-29 14:46:30,16.10844304866623,33,208.619
2013-12-31 10:35:30,2013-12-31 11:38:30,63.00000000000001,2013-12-31 10:48:30,11.310800022212788,58,272.169
2013-12-31 12:39:30,2013-12-31 13:11:30,32.00000000000001,2013-12-31 12:46:30,11.581377352355048,33,158.88
2013-12-31 18:56:30,2013-12-31 20:21:30,85.0,2013-12-31 19:04:30,23.676656412426382,85,548.355
