start_time,end_time,t3_duration,t3_max_int,default_color
2011-01-22 08:28:30,2011-01-22 08:41:30,13,49.11280059814453,green
2011-01-27 09:02:30,2011-01-27 09:19:30,17,39.61906814575195,green
2011-01-27 12:11:30,2011-01-27 12:34:30,23,58.73146438598633,green
2011-02-17 21:37:30,2011-02-17 22:05:30,28,193.79127502441406,green
2011-03-07 20:06:30,2011-03-07 20:52:30,46,106.93141174316406,green
2011-04-03 18:41:30,2011-04-03 19:13:30,32,96.3566665649414,green
2011-04-20 20:11:30,2011-04-20 20:23:30,12,34.30678176879883,green
2011-05-15 23:38:30,2011-05-16 00:00:30,22,71.48811340332031,green
2011-05-18 18:40:30,2011-05-18 18:55:30,15,33.64197540283203,green
2011-06-04 22:27:30,2011-06-04 22:39:30,12,27.3803653717041,green
2011-06-07 06:31:30,2011-06-07 07:27:30,56,255.28643798828125,green
2011-06-21 03:05:30,2011-06-21 03:20:30,15,72.42533111572266,green
2011-06-23 12:49:30,2011-06-23 13:01:30,12,35.34224319458008,green
2011-06-24 15:51:30,2011-06-24 16:20:30,29,75.4015884399414,green
2011-06-25 07:46:30,2011-06-25 08:00:30,14,38.376190185546875,green
2011-06-25 10:28:30,2011-06-25 10:44:30,16,64.50312805175781,green
2011-07-03 00:15:30,2011-07-03 00:36:30,21,57.0247802734375,green
2011-07-08 03:05:30,2011-07-08 03:20:30,15,67.22066497802734,green
2011-07-12 15:47:30,2011-07-12 16:05:30,18,157.033203125,green
2011-07-12 16:42:30,2011-07-12 16:55:30,13,153.82754516601562,green
2011-07-16 18:01:30,2011-07-16 18:39:30,38,110.88223266601562,green
2011-07-30 12:22:30,2011-07-30 12:33:30,11,39.564476013183594,green
2011-07-31 19:08:30,2011-07-31 19:40:30,32,110.8304443359375,green
2011-08-02 06:23:30,2011-08-02 06:56:30,33,161.7086639404297,green
2011-08-03 13:36:30,2011-08-03 14:09:30,33,77.88160705566406,green
2011-08-04 04:08:30,2011-08-04 04:45:30,37,72.720458984375,green
2011-08-08 18:09:30,2011-08-08 18:42:30,33,123.9217758178711,green
2011-08-09 08:10:30,2011-08-09 08:51:30,41,109.94805908203125,green
2011-08-10 10:39:30,2011-08-10 10:49:30,10,44.30495834350586,green
2011-08-30 11:56:30,2011-08-30 12:08:30,12,41.78240203857422,green
2011-09-03 20:55:30,2011-09-03 21:13:30,18,52.280609130859375,green
2011-09-06 02:05:30,2011-09-06 02:36:30,31,108.0618896484375,green
2011-09-06 22:33:30,2011-09-06 23:05:30,32,64.03229522705078,green
2011-09-13 12:31:30,2011-09-13 12:48:30,17,51.93623352050781,green
2011-09-22 10:56:30,2011-09-22 11:24:30,28,92.80810546875,green
2011-09-27 01:45:30,2011-09-27 01:59:30,14,46.24250411987305,green
2011-10-01 01:06:30,2011-10-01 01:25:30,19,56.8509521484375,green
2011-10-01 09:15:30,2011-10-01 09:32:30,17,50.237518310546875,green
2011-10-02 11:14:30,2011-10-02 11:38:30,24,68.41789245605469,green
2011-10-02 21:58:30,2011-10-02 22:19:30,21,67.62796783447266,green
2011-10-21 13:12:30,2011-10-21 13:37:30,25,75.9688491821289,green
2011-11-09 13:29:30,2011-11-09 13:53:30,24,111.43359375,green
2011-11-15 09:18:30,2011-11-15 09:38:30,20,69.76130676269531,green
2011-11-16 01:32:30,2011-11-16 01:44:30,12,39.112003326416016,green
2011-11-24 00:58:30,2011-11-24 01:08:30,10,65.56076049804688,green
2011-11-24 01:14:30,2011-11-24 01:32:30,18,63.17144012451172,green
2011-11-25 14:05:30,2011-11-25 14:30:30,25,50.98407745361328,green
2011-11-25 16:17:30,2011-11-25 16:30:30,13,36.66411209106445,green
2011-12-24 12:07:30,2011-12-24 12:29:30,22,70.24380493164062,green
2011-12-28 20:31:30,2011-12-28 21:03:30,32,49.84236526489258,green
