start_time,end_time,t3_duration,t3_max_time,t3_max_int,points_no,intgl_int_dur
2012-01-02 14:34:30,2012-01-02 15:37:30,63.00000000000001,2012-01-02 14:37:30,6.417839556117542,63,218.507
2012-01-02 23:41:30,2012-01-03 00:19:30,38.0,2012-01-02 23:43:30,4.122854790650308,35,98.864
2012-01-03 01:51:30,2012-01-03 02:27:30,36.0,2012-01-03 01:57:30,8.839505066396669,37,187.237
2012-01-06 04:52:30,2012-01-06 05:29:30,37.0,2012-01-06 04:56:30,7.94459736160934,38,145.156
2012-01-06 11:16:30,2012-01-06 12:02:30,46.0,2012-01-06 11:24:30,26.15557591977995,46,332.612
2012-01-13 09:08:30,2012-01-13 09:45:30,37.0,2012-01-13 09:12:30,42.86559757264331,38,531.351
2012-01-15 05:19:30,2012-01-15 05:49:30,30.0,2012-01-15 05:30:30,7.12089407350868,31,140.699
2012-01-19 12:44:30,2012-01-19 13:27:30,43.0,2012-01-19 12:49:30,13.065035147592425,43,234.403
2012-01-20 10:50:30,2012-01-20 11:22:30,32.00000000000001,2012-01-20 10:52:30,30.600196700543165,33,254.815
2012-01-20 21:06:30,2012-01-20 21:36:30,30.0,2012-01-20 21:16:30,9.946566743776202,31,164.044
2012-01-21 13:34:30,2012-01-21 14:08:30,34.00000000000001,2012-01-21 13:36:30,10.050920206354931,34,184.31
2012-01-23 03:44:30,2012-01-23 05:38:30,114.0,2012-01-23 03:56:30,11.5412170488853,114,600.059
2012-01-27 18:16:30,2012-01-27 19:55:30,99.0,2012-01-27 18:27:30,59.73347397451289,100,1514.738
2012-02-16 10:17:30,2012-02-16 10:56:30,39.0,2012-02-16 10:35:30,4.870741698425263,39,127.169
2012-02-17 09:11:30,2012-02-17 09:50:30,39.0,2012-02-17 09:20:30,6.349651876371354,40,164.005
2012-02-18 05:10:30,2012-02-18 05:55:30,45.0,2012-02-18 05:18:30,16.14622674311977,44,283.388
2012-02-28 21:02:30,2012-02-28 21:36:30,34.00000000000001,2012-02-28 21:06:30,19.820445951074362,35,250.488
2012-03-01 00:34:30,2012-03-01 01:19:30,45.0,2012-03-01 00:56:30,3.353391016367823,38,98.051
2012-03-01 18:48:30,2012-03-01 19:39:30,51.0,2012-03-01 19:33:30,4.631635901518166,27,79.733
2012-03-04 11:03:30,2012-03-04 11:43:30,40.0,2012-03-04 11:08:30,10.643807281041518,38,155.454
