start_time,end_time,t3_duration,t3_max_int,default_color
2011-02-17 21:39:30,2011-02-17 22:00:30,21,36.336177825927734,green
2011-03-07 20:10:30,2011-03-07 21:04:30,54,71.01073455810547,blue
2011-04-03 19:04:30,2011-04-03 19:21:30,17,87.46369171142578,green
2011-04-13 06:03:30,2011-04-13 06:14:30,11,67.36014556884766,green
2011-05-15 23:40:30,2011-05-16 00:13:30,33,48.751426696777344,green
2011-06-07 06:31:30,2011-06-07 07:41:30,10,137.29443359375,red
2011-06-23 12:55:30,2011-06-23 13:06:30,11,28.29083251953125,green
2011-06-24 15:55:30,2011-06-24 16:28:30,33,46.07796096801758,green
2011-06-25 10:32:30,2011-06-25 10:48:30,16,36.78324890136719,green
2011-07-03 00:23:30,2011-07-03 00:44:30,21,32.319725036621094,green
2011-07-12 15:50:30,2011-07-12 16:04:30,14,56.73479461669922,green
2011-07-16 18:08:30,2011-07-16 18:39:30,31,60.45824432373047,green
2011-07-30 12:26:30,2011-07-30 12:39:30,13,31.90781021118164,green
2011-07-31 19:12:30,2011-07-31 19:47:30,35,80.75790405273438,green
2011-08-02 06:27:30,2011-08-02 07:06:30,39,186.19186401367188,blue
2011-08-03 13:41:30,2011-08-03 14:00:30,19,38.167762756347656,green
2011-08-04 04:18:30,2011-08-04 04:46:30,28,36.917236328125,red
2011-08-08 18:11:30,2011-08-08 18:54:30,43,73.82905578613281,blue
2011-08-09 08:13:30,2011-08-09 08:51:30,38,60.98945999145508,red
2011-09-06 02:08:30,2011-09-06 02:42:30,34,74.20086669921875,blue
2011-09-06 22:42:30,2011-09-06 23:07:30,25,33.30577087402344,red
2011-09-13 12:34:30,2011-09-13 13:02:30,28,47.55293273925781,green
2011-09-22 11:04:30,2011-09-22 11:28:30,24,42.93008041381836,blue
2011-09-27 01:44:30,2011-09-27 01:59:30,15,40.23175048828125,green
2011-10-02 11:21:30,2011-10-02 11:40:30,19,34.29420471191406,green
2011-10-02 22:07:30,2011-10-02 22:21:30,14,30.787670135498047,green
2011-10-21 13:15:30,2011-10-21 13:35:30,20,46.13224411010742,blue
2011-11-09 13:33:30,2011-11-09 13:44:30,11,44.00792694091797,green
2011-11-11 07:07:30,2011-11-11 07:38:30,31,44.33946228027344,green
2011-11-24 01:06:30,2011-11-24 01:50:30,44,79.14697265625,green
2011-11-25 14:09:30,2011-11-25 14:52:30,43,62.12512969970703,blue
2011-12-24 12:12:30,2011-12-24 12:43:30,31,75.41552734375,green
2011-12-30 20:26:30,2011-12-30 20:36:30,10,29.469772338867188,green
